;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
DIALOG/generic/mech_bioscanner_01;The Molecular Bioscanner tool is now online and fully operational. We can start gathering information about the local fauna and flora species.;Bioskaner molekularny jest w stanie gotowości operacyjnej. Możemy zacząć zbierać informacje na temat obecnych tutaj roślin i zwierząt.;Молекулярный биосканер теперь в сети и полностью работоспособен. Мы можем начинать сбор информации о местных видах фауны и флоры.;Le bioscanner moléculaire est désormais en ligne et entièrement opérationnel. Nous pouvons commencer à recueillir des informations sur les espèces locales de faune et de flore.;Der molekulare Bioscanner ist nun aktiviert und voll funktionsfähig. Wir können jetzt mit der Erfassung von Informationen über die lokalen Fauna- und Floraspezies beginnen.;El bioescáner molecular está listo para usarse. Podemos empezar a obtener información acerca de la fauna y flora locales.;A ferramenta Explorador Biológico Molecular já está online e totalmente operacional. Podemos começar a coletar informações sobre as espécies de fauna e flora locais.;分子生物扫描仪现已上线并全面运作。我们可以开始收集当地动植物物种的信息了。;分子バイオスキャナの稼働を開始。いつでも使用可能だ。これでこの地域の動植物の情報を収集できる。;분자 바이오 스캐너가 현재 온라인 상태이며, 정상 가동 중입니다. 이제 현지의 동식물 종에 대한 정보 수집을 시작할 수 있습니다.
DIALOG/generic/mech_new_biome_01;A new biome is now available for survey with the Orbital Scanner.;Nowy biom jest teraz dostępny do badania za pomocą skanera orbitalnego.;Доступен новый биом для сканирования орбитальным сканером.;Un nouveau biome est maintenant disponible pour étude avec le scanner orbital.;Ein neues Biom kann nun mit dem Orbitscanner untersucht werden.;Puedes analizar un nuevo bioma en el escáner orbital.;Um novo bioma já está disponível para levantamento com o Explorador Orbital.;现可使用轨道扫描仪对新生物群落进行勘测。;軌道スキャナの調査対象に新たなバイオームが追加された。;행성 스캐너로 조사 가능한 새로운 생물군계가 추가되었습니다.
DIALOG/generic/mech_armory_construction_start_01;Armory construction started.;Budowa Zbrojowni rozpoczęta.;Строительство арсенала начато.;Construction de l’armurerie commencée.;Bau des Arsenals initiiert.;Ha comenzado la construcción de una armería.;Construção do Arsenal iniciada.;武器库开始建造。;アーモリーの建設を開始。;무기고 건설이 시작되었습니다.
DIALOG/generic/mech_comms_hub_construction_start_01;Communications Hub construction started.;Budowa Centrum Komunikacyjnego rozpoczęta.;Строительство узла связи начато.;Construction du centre de communications commencée.;Bau der Kommunikationszentrale initiiert.;Ha comenzado la construcción de un centro de comunicaciones.;Construção da Central de Comunicações iniciada.;通讯中心开始建造。;通信ハブの建設を開始。;통신 허브 건설이 시작되었습니다.
DIALOG/generic/mech_alien_lab_construction_end_01;Alien Research Laboratory construction finished.;Zakończono budowę Laboratorium.;Завершено строительство лаборатории исследований инопланетной жизни.;Construction du laboratoire de recherche extraterrestre terminée.;Bau des Alienforschungslabors beendet.;Construcción de laboratorio de investigación alienígena completada.;Construção do Laboratório de Pesquisa Alienígena concluída.;异形研究实验室建造完成。;異星生物研究所の建設を開始。;외계 연구 실험실 건설이 완료되었습니다.
DIALOG/generic/mech_orbital_scanner_construction_start_01;Orbital Scanner construction is in progress.;Budowa Skanera Orbitalnego rozpoczęta.;Строительство орбитального сканера в процессе.;Construction du scanner orbital en cours.;Orbitscanner wird gebaut.;Construcción de escáner orbital en curso.;Construção do Explorador Orbital em andamento.;轨道扫描仪建造中。;軌道スキャナの建設を開始。;행성 스캐너 건설이 건설 중입니다.
DIALOG/generic/mech_orbital_scanner_construction_end_01;Orbital Scanner construction finished. We can now use it to Rift Jump to new locations by selecting new mission coordinates through the Orbital Scanner interface.;Zakończono budowę Skanera Orbitalnego. Możemy dzięki niemu skakać w odległe rejony planety, wybierając odpowiednie koordynaty na ekranie interfejsu Skanera.;Строительство орбитального сканера завершено. Теперь мы можем использовать его для прыжка в червоточину. Выбери координаты новой миссии прямо в интерфейсе сканера.;Construction du scanner orbital terminée. On peut maintenant utiliser le saut dimensionnel vers de nouveaux emplacements en sélectionnant de nouvelles coordonnées de mission via l’interface du scanner orbital.;Der Bau des Orbitscanners ist beendet. Nun können wir ihn für Riftsprünge zu neuen Orten nutzen. Wähle dazu neue Missionskoordinaten über das Interface des Orbitscanners aus.;Construcción de escáner orbital completada. Ahora podemos usar el salto dimensional hacia nuevas ubicaciones seleccionando las coordenadas de la misión en la interfaz del escáner orbital.;Construção do Explorador Orbital concluída. Agora podemos usá-lo para realizar saltos de fenda para novas localizações, selecionando novas coordenadas de missão através da interface do Explorador Orbital.;轨道扫描仪建造完成。我们现在可以通过轨道扫描仪界面选择新的任务坐标，进行裂隙跳跃前往新地点。;軌道スキャナの建設が完了した。軌道スキャナインターフェースから新たなミッション座標を選択すれば起動スキャナを利用して新たな地域へのリフトジャンプが可能だ。;행성 스캐너 건설이 완료되었습니다. 이제 행성 스캐너 접속기를 통해 새로운 임무 좌표를 선택하여 새로운 위치로 리프트 점프를 할 수 있습니다.
DIALOG/generic/mech_prime_rift_construction_start_01;Initiating construction of the Prime Rift Station.;Rozpoczęto budowę Stacji Rift Prime.;Инициировано строительство главной рифт-станции.;Lancement de la construction de la station dimensionnelle primaire.;Bau der primären Riftstation initiiert.;Comenzando construcción de la estación de grietas suprema.;Iniciando a construção da Estação de Fenda Primária.;开始建造主裂隙站。;プライムリフトステーションの建設を開始する。;프라임 리프트 스테이션 건설을 시작합니다.
DIALOG/generic/mech_energy_pylon_construction_start_01;Energy Pylon construction started.;Budowa Pylona Energetycznego w toku.;Строительство энергетического пилона начато.;Construction du pylône énergétique commencée.;Bau des Energiemasts initiiert.;Ha comenzado la construcción de un poste de energía.;Construção do Pilone Energético iniciada.;能量塔开始建造。;エネルギーパイロンの建設を開始。;에너지 파일론 건설이 시작되었습니다.
DIALOG/story/campaign/mech_ice_biome_unlock_01;Ashley, I have made an interesting discovery. Orbital Scanner data suggests that we could find rich Palladium deposits in Galatea's northern Cryo Fields.;Odkryłem coś ciekawego, Ashley. Dane ze Skanera Orbitalnego wskazują na obecność bogatych złóż Palladu w obrębie Pół Mrozu na północy Galatei.;Эшли, я сделал интересное открытие. Данные орбитального сканера указывают, что мы можем найти богатые залежи палладия в северных криополях Галатеи.;Ashley, j’ai fait une découverte plutôt intéressante. Les données du scanner orbital suggèrent qu’on pourrait trouver de riches gisements de palladium dans les cryochamps au nord de Galatea.;Ashley, ich habe eine interessante Entdeckung gemacht. Die Daten des Orbitscanners deuten darauf hin, dass wir in den nördlichen Kryofeldern von Galatea reichlich Palladiumvorkommen entdecken könnten.;Ashley, he descubierto algo interesante. Los datos del escáner orbital sugieren que podríamos encontrar grandes depósitos de paladio en la Estepa criogenizada, en la zona norte de Galatea.;Ashley, fiz uma descoberta interessante. Os dados do Explorador Orbital sugerem que poderíamos encontrar ricos depósitos de Paládio nos Campos Criogênicos do norte de Galatea.;阿雪莉，我有一个有趣的发现。轨道扫描仪的数据表明，我们可以在伽拉忒亚北部的低温原野找到丰富的钯矿床。;アシュリー、興味深い発見があった。軌道スキャナが収集したデータから、ガラテア北部の氷雪地帯にはパラジウムの鉱床が多く存在することが分かった。;애슐리, 흥미로운 발견을 했습니다. 행성 스캐너 데이터에 따르면 갈라테아 북부 극저온 지대에서 풍부한 팔라듐 광상를 찾을 수 있습니다.
